question,answer,file
what is gcoek kolhapur,"GCOEK stands for Government College of Engineering, Kolhapur.",
where is gcoek kolhapur located,"GCOEK Kolhapur is located in Kolhapur, Maharashtra.",
who is principal of gcoek kolhapur,Please refer to the official notice for the current principal.,static/files/principal_notice.pdf
give me academic calendar,Here is the academic calendar of GCOEK Kolhapur.,static/files/academic_calendar.pdf
give me syllabus,Here is the syllabus of GCOEK Kolhapur.,static/files/syllabus.pdf
give me exam timetable,Here is the exam timetable.,static/files/exam_timetable.pdf
give me admission notice,Here is the admission notice.,static/files/admission_notice.pdf
give me fee structure,Here is the fee structure.,static/files/fee_structure.pdf
give me hostel information,Here is the hostel information.,static/files/hostel_info.pdf
give me scholarship information,Here is the scholarship information.,static/files/scholarship.pdf
what is information about computer engineering department 1,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 2,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 3,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 4,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 5,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 6,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 7,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 8,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 9,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 10,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 11,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 12,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 13,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 14,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 15,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 16,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 17,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 18,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 19,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 20,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 21,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 22,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 23,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 24,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 25,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 26,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 27,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 28,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 29,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 30,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 31,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 32,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 33,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 34,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 35,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 36,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 37,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 38,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 39,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about computer engineering department 40,This is general information about the computer engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 1,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 2,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 3,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 4,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 5,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 6,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 7,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 8,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 9,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 10,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 11,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 12,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 13,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 14,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 15,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 16,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 17,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 18,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 19,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 20,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 21,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 22,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 23,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 24,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 25,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 26,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 27,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
what is information about mechanical engineering department 28,This is general information about the mechanical engineering department of GCOEK Kolhapur.,
